created_at,description,category
"Lots of potholes on road sinces years.\nFrom Sakinaka metro station to Andheri metro station. Andheri kurla road road/Sir Mathuradas Vasanji road.\nHeavy risk of life for 2 wheelers, some potholes are even approx a foot deep.\nMore worse is condition of road when heading from Andheri metro stn to Sakinaka Metro Stn.\nIt takes 30-45 min to travel from Marolnaka Metro Stn to Sakinaka Metro Stn.\nMost of the bikers face health issues specially Spine injuriers and Back aches.\nOther most dangerous road is western express highway where vehicles are in speed and even a little touch may RISK OUR LIFES OF BIKERS.","Potholes, new surprise potholes.",Potholes
"There\'s a huge garbage bin in the area which though is cleared 3 times a day is a very dirty and odour filled sight and smell through out the day. Since the bin is open, its a cause for a very dirty and smelly sight and feel. A very unpleasant experience to walk through the place. Please arrange to get rid of the bin by having regular garbage pick up vans to collect the garbage in the area. Its also a cause for sicknesses and diseases among people in the area.",Huge Garbage bin in the area,Garbage
"The traffic signal is not been correctly set. When the vehicle which comes from chincholi bunder road and taking left and going towards goregaon. The Signal when turns green for straight and right, the signal for left is not turned on. When the left turn signal is on , the vehicles coming from goregaon toward Malad signal gets the U turn signal on. I do see vested interest in this. The signal is poorly set and needs immediated attention.",Traffic Signal at the Malad linking road (Junction of Gurukrupa hotel),Trafic
I have given 1 location become of this sites restriction...the whole of Mumbai has terrible ...patched up roads. There is not one road with a smooth ride...my car is constantly getting damaged.,Roads in mumbsi,Potholes
"In our area garbage is being littered all over by stray dogs, rag pickers n there are 10/15 cattle (cows) which are being left free by the owner every day morning due to which there are traffic congestion cause they sit n walk in the middle of the road. they also shit on the road creating more dirt. please do something about it n even take some action against the cattle owner who can milk the cows but can\'t feed them, leaving them to eat the garbage.",Garbage littered all over,Garbage
"It is a dreadful view to glance at, and even worse to smell. The locality is so high end and still the sorrounding stinks of garbage.",Litter everywhere,Garbage
"Garbage on the roads, bins are full.",Garabge,Garbage
Pednekar\'s house was demolished and since then garbage and debris is dumped there. The area needs to be cleaned and controlled.,Garbage dump created in a plot where house was demolished,Garbage
"The roads right through Andheri MIDC a business district to adjacent areas like Mahakali, Chakala, Marol, Vijay Nagar have terrible roads with NO ROAD REPAIR done in the last 20 months. Every pothole is filled with Sand & Paver Blocks which have no effect for over 24 hours! Please fix this! NOW!","Terrible Roads, Andheri East, Marol, MIDC, Mahakali, JVLR",Potholes
In good roads,Road problems,Potholes
Good road,Bad road,Potholes
We Face road Side Both Foothpaths are Damege.....Many People Accident In This Road...So Plzz chk Out This As Soon As Possible...,Damge Road.....,Potholes
Dear we facing eletricity problum in ouver ariya from last 15 days .......so piease as soon as posibal..........,Electricity,Electricity
Dear we facing eletricity problum in ouver ariya from last 15 days .......so piease as soon as posibal..........,Electrycity,Electricity
We are also demage pootpath stand this danger comdisan........so please soon as soon posible,Phootpath,Potholes
Yanha Traffic bahut hi jyada rahata hai. Subah Office nikalna Bahut hard ho jata hai....,Traffic,Traffic
"Heavy risk of life for 2 wheelers, some potholes are even approx a foot deep.",Traffic,Traffic
More worse is condition of road when heading from Andheri metro stn to Sakinaka Metro Stn.,Dogs Stray,Stray Animals
"Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this issue.",Garbage,Garbage
It takes 30-45 min to travel from Marolnaka Metro Stn to Sakinaka Metro Stn.,Traffic,Traffic
"Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this issue.",Bad Road,Potholes
Stray dogs keep roaming everywhere,Stray Dogs,Stray Animals
There are very cloud and traffic,Traffic,Traffic
Water problem,Water,Water Pollution
Dear Sir Some Dogs Are very badly Enter In Our Are So Plzz Help ...To Stop Stray Dogs,Stary Dogs,Stray Animals
Stray Dogs Plzz catch it As Soon As possible...,Stary Dogs,Stray Animals
Stray dogs problem in our colony.....,Stray dogs,Stray Animals
Dogs stary In Are Danajer For Peoples...Needs help...,Dogs Stray,Stray Animals
Dogs Stray in our colony Plzz help needfull As Soon As Possible...,Dogs Stray,Stray Animals
Dogs Stray problem in Area Need help....,Dogs Stray,Stray Animals
Dogs Stray Problems....need hepl,Dogs Stray,Stray Animals
Dogs stray problem plzzz solve sonn,Dogs stray,Stray Animals
Dogs stray problem,Dogs stray,Stray Animals
Dogs stray problem from kast 10 days so needfull help....,Dogs stray,Stray Animals
Bad Streelights auto off and on in nights plzzz chk this soon...,Bad Streelights,Electricity
Electrycity Problem Streelight off in nights so plzz as soon as possible solve problem,Electrycity Problem,Electricity
"Heavy risk of life for 2 wheelers, some potholes are even approx a foot deep.",Traffic,Traffic
Metro Stn to Sakinaka Metro Stn \nthere are must street Light.,Street Lights,Electricity
It takes 30-45 min to travel from Marolnaka Metro Stn to Sakinaka Metro Stn.,Traffic,Traffic
More worse is condition of road when heading from Andheri metro stn to Sakinaka Metro Stn.More worse is condition of road when heading from Andheri metro stn to Sakinaka More worse is condition of road when heading from Andheri metro stn to Sakinaka.,Bad Roads,Potholes
Andheri metro stn to Sakinaka Metro Stn,Dogs Stray,Stray Animals
Metro Stn to Sakinaka Metro Stn.,Stray Dogs,Stray Animals
"Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this issue.",Bad Roads,Potholes
Municipal Corporation is not taking any action to solve this issue.Municipal Corporation is not taking any action to solve this issue.So Plz Voteup me,Garbage,Garbage
"Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this issue.",Bad Roads,Potholes
There are no good roads in this city so more worse is condition of road are not good.,Bad Roads,Potholes
There are More garbage in here Municipal Corporation is not taking any action to solve this issue.,Garbage,Garbage
Jaam ki smasya bhut rhti hai . isse polution badhta hai or sans lene me dikat ho rhi hai,Traffic jaam,Traffic
Awara kutton se bhut preshani hoti hai or raste par chalte hue khane ka bhi dar rehta hai,Stray dog,Stray Animals
Its feels as if we\'re in some remote are of india. The road conditions are so pathetic because of the substandard work by the municipality. Who is going to pay for all the backaches?,Very Bad Roads,Potholes
